estilo, cancion
Bailanta/Reggaeton,Los Bonnitos - Dile
Bailanta/Reggaeton,Marama - Loquita
Bailanta/Reggaeton,Pitbull - El taxi
Bailanta/Reggaeton,VI-EM - Canta
Pop Latino,Ricky Martin - La mordidita
Pop Latino,Cristian Castro - Lloviendo Estrellas
Pop Latino,Luis Fonsi - No te cambio por ninguna
Pop Latino,Chichi Peralta - Procura
Pop Latino,Chayanne - Baila baila
Pop Latino,Enrique Iglesias - Bailando
Pop Latino,Christina Aguilera - Ven conmigo
Pop Latino,Las Ketchup - Asereje
Pop Latino,Juan Luis Guerra - La bilirrubina
Bailanta/Reggaeton,Proyecto uno - El Tiburón
Pop Latino,Los del Río - Macarena
Bailanta/Reggaeton,Los Sultanes - Estoy Saliendo con un chabón
Bailanta/Reggaeton,Gilda - Fuiste
Bailanta/Reggaeton,La mona Jimenez - Beso a beso
Bailanta/Reggaeton,Rodrigo - Soy Cordobés
Bailanta/Reggaeton,Yerba Brava - Pibe Cantina
Pop Latino,Son by Four - A puro dolor
Rock Nacional,Gustavo Cordera - La bomba loca
Bailanta/Reggaeton,Nene Malo - Como me gusta la noche
Bailanta/Reggaeton,Calle 13 - Fiesta de locos
Bailanta/Reggaeton,Rombai - Curiosidad
Pop Latino,Azucar Moreno - Solo se vive una vez
Pop Latino,Ricardo Arjona - Mujeres
Pop/Rock Internacional,Aqua - Barbie girl
Pop/Rock Internacional,Britney Spears - Baby one more time
Pop/Rock Internacional,Backstreet Boys - Everybody
Pop/Rock Internacional,Spice Girls - Wannabe
Pop/Rock Internacional,Robbie Williams - Rock DJ
Pop/Rock Internacional,Maroon5 - Sugar
Pop Latino,Lali Espósito - Esperanza Mía
Pop/Rock Internacional,Justine Bieber - Waht do you mean?
Bailanta/Reggaeton,Nicky Jam - El Perdón
Pop/Rock Internacional,The Rembrandts - I'll be there for you
Pop Latino,Bacilos - Caraluna
Rock Nacional,Mancha de Rolando - Chino
Rock Nacional,Los Auténticos Decadentes - Los Piratas
Rock Nacional,Los Fabulosos Cadillacs - El Matador
Rock Nacional,Soda Stereo - De música ligera
Rock Nacional,Los Pericos - Párate y mira
Pop Latino,David Bisbal - Ave María
Pop/Rock Internacional,Major Lazer - Lean On
Pop/Rock Internacional,Maxi Trusso - Nothing at all
Pop/Rock Internacional,Bastille - Pompeii
Pop/Rock Internacional,Capital Cities - Safe and Sound
Bailanta/Reggaeton,Agapornis - Tu
Bailanta/Reggaeton,Yandar - Te pintaron pajaritos
Bailanta/Reggaeton,Romeo Santos - Cancioncitas de Amor
Bailanta/Reggaeton,Don Omar - Danza Kuduro
Pop/Rock Internacional,Michael Jackson - Beat It
Pop/Rock Internacional,Kenny Loggins - Footloose
Pop Latino,Gloria Estefan - Conga
Pop/Rock Internacional,AC/DC - You Shook me all night long
Pop/Rock Internacional,Guns N' Roses - Sweet Child of Mine
Pop/Rock Internacional,The Rolling Stones - Start me up
Pop/Rock Internacional,Ini Kamoze - Here comes the Hotstepper
Rock Nacional,Charly Garcia - No voy en tren
Rock Nacional,Fito Páez - Mariposa Tecknicolor
Rock Nacional,Andrés Calamaro - Flaca
Rock Nacional,Vicentico - Algo Contigo
Rock Nacional,Illya Kuryaki - Coolo
Rock Nacional,Catupecu Machu - Magia Veneno
Rock Nacional,Divididos - Ala Delta
Rock Nacional,Fabiana Cantilo - Mi enfermedad
Rock Nacional,Enanitos Verdes - Lamento Boliviano